Artikkelnummer;Artikkelnavn;Antalldpakk;Antallfpakk
12054;Fri Cone 4 stk. x 8;0;0
12116;Diplom-Is 0% sukker MP 8 stk NYHET;0;0
11665;Fruitero 10 stk. x 5;0;0
12040;Fruitero Mini 80% Mango 6stk. x 5;0;0
12122;Gullpinne 8 stk x 6 NYHET;0;0
00869;Krone-Is Jordbær 6 stk. x 5;0;0
00867;Krone-Is Sjokolade 6 stk. x 5;0;0
12108;Lollipop  12 stk x 6 NYHET;0;0
00879;Lollipop 10 stk. x 5;0;0
12115;Lollipop Fruktlolli 8 stk NYHET;0;0
12083;Lollipop Pæresplitt 10stk. x 5;0;0
11911;Lollipop Zombis 15 stk. x 3  ;0;0
12142;Marianne Fazer 15 Stk NYHET;0;0
12061;Mars 6stk. x 12;0;0
00875;Pin-Up 10 stk. x 5;0;0
12106;Pinup 12 stk x 6 NYHET;0;0
12093;Pirulo Frutti 5stk. x 6;0;0
12092;Pirulo Watermelon 4 stk NYHET;0;0
11483;Sandwich 6 stk. x 6;0;0
11800;Smarties Pop Up 4 stk x 6;0;0
12060;Snickers 6 stk. x 12;0;0
12145;Snickers Bar 12stk NYHET;0;0
12087;Snickers White 6 stk x 12;0;0
11803;Sombrero 6 stk. x 12;0;0
00873;Tip Top Båtis 6 stk. x 4;0;0
12144;Tutti Frutti Fazer NYHET;0;0
11705;Twix 6 stk. x 12;0;0
12086;Tyrkisk pepper 8 stk. x 5;0;0
00841;Vaniljestang 10 stk. x 5;0;0
